City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
190,katsuura,JP,78.01,overcast clouds,35.13,140.3,Katsuura Hotel Mikazuki
193,ginda,ER,65.64,overcast clouds,30.69,78.49,Bal uma sankar hotel and restaurant
194,martapura,ID,71.6,clear sky,-3.42,114.85,Montana Hotel Syariah
195,chapais,CA,68.0,few clouds,49.78,-74.85,Hôtel Opémiska
198,bambous virieux,MU,71.01,shower rain,-20.34,57.76,Casa Tia Villa
200,tual,ID,79.43,scattered clouds,-5.67,132.75,Grand Vilia Hotel
203,dingle,IE,76.44,broken clouds,11.0,122.67,Camp Pasica
206,omboue,GA,73.87,overcast clouds,-1.57,9.26,Hotel Olako
212,norman wells,CA,69.8,few clouds,65.28,-126.83,Heritage Hotel
213,karratha,AU,71.24,broken clouds,-20.74,116.85,ibis Styles Karratha
217,cabedelo,BR,73.4,broken clouds,-6.98,-34.83,Lua Mansa Pousada
223,esfarayen,IR,66.2,scattered clouds,37.08,57.51,Mellat
224,touros,BR,75.2,few clouds,-5.2,-35.46,INN NEW HORIZON
226,mandera,KE,78.4,overcast clouds,3.94,41.87,Kornesh Hotel and Lodging
229,hambantota,LK,78.8,few clouds,6.12,81.12,Bungalow 63
230,orocue,CO,80.94,clear sky,4.79,-71.34,Hotel Brisas de San Miguel
232,akyab,MM,80.4,moderate rain,20.15,92.9,Hotel Memory
235,carutapera,BR,76.33,broken clouds,-1.2,-46.02,Lidera
237,ponta do sol,CV,75.2,few clouds,32.67,-17.1,Hotel do Campo
238,torbay,CA,68.0,broken clouds,47.67,-52.73,Gallows Cove
239,camocim,BR,78.26,few clouds,-2.9,-40.84,Hotel Ilha do Amor
243,new glasgow,CA,73.99,broken clouds,45.58,-62.65,Holiday Inn Express Stellarton-New Glasgow
246,pokhara,NP,70.9,overcast clouds,28.23,83.98,Hotel View Point
248,makasar,ID,69.8,few clouds,-5.14,119.42,Aryaduta Makassar
249,sao filipe,CV,79.61,broken clouds,14.9,-24.5,Tortuga B&B
255,havelock,US,81.0,light rain,34.88,-76.9,Sherwood Motel
256,varna,BG,69.8,few clouds,43.22,27.92,GOLDEN TULIP VARNA
259,lengshuitan,CN,78.44,clear sky,26.41,111.6,Jialong Hotel
260,mahebourg,MU,69.8,shower rain,-20.41,57.7,Le Peninsula Bay Beach Resort & Spa
261,buchanan,LR,77.0,scattered clouds,5.88,-10.05,Kamaneahn Hotel Inc
262,aklavik,CA,69.8,broken clouds,68.22,-135.01,Aklavik Inn
263,kilindoni,TZ,76.17,light rain,-7.91,39.67,Bustani B&B
265,luganville,VU,78.8,broken clouds,-15.53,167.17,The Espiritu Hotel
269,jalu,LY,79.34,clear sky,29.03,21.55,Jalu Hotel
270,bireun,ID,76.75,overcast clouds,5.2,96.7,OYO 2303 Hotel Blang Raya
271,boa vista,BR,80.6,shower rain,2.82,-60.67,Aipana Plaza Hotel
279,half moon bay,US,80.01,scattered clouds,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
281,portobelo,PA,82.0,light rain,9.55,-79.65,La Finca
282,gucheng,CN,71.1,broken clouds,35.91,111.32,古城宾馆
284,bonthe,SL,77.07,moderate rain,7.53,-12.51,Bonthe Holiday Village
285,robertsport,LR,76.89,light rain,6.75,-11.37,Kwepunha Retreat
286,mto wa mbu,TZ,67.51,broken clouds,-3.35,35.85,Fanaka Safaris Campsite & Lodges
287,belawan,ID,75.2,scattered clouds,3.78,98.68,Lilik Hidayat Pulungan
288,maumere,ID,75.36,broken clouds,-8.62,122.21,Sylvia Hotel
