City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
86,vestmannaeyjar,IS,63.44,-20.27,52.25,75,81,6.11,broken clouds
87,cape town,ZA,-33.93,18.42,60.01,82,20,8.05,few clouds
88,kodinsk,RU,58.69,99.18,51.55,90,4,1.45,clear sky
89,butaritari,KI,3.07,172.79,82.96,69,73,10.09,broken clouds
90,tasiilaq,GL,65.61,-37.64,41.0,86,0,5.82,clear sky
91,petropavlovsk-kamchatskiy,RU,53.05,158.65,51.8,100,40,6.71,scattered clouds
92,saldanha,ZA,-33.01,17.94,55.4,87,57,5.82,broken clouds
93,totness,SR,5.88,-56.32,80.11,83,57,9.37,light rain
94,shingu,JP,33.73,135.98,77.61,81,1,2.26,clear sky
95,afyonkarahisar,TR,38.75,30.67,63.14,39,0,1.05,clear sky
96,los llanos de aridane,ES,28.66,-17.92,75.0,83,12,17.22,few clouds
97,bengkulu,ID,-3.8,102.27,75.49,87,100,3.74,overcast clouds
98,kahului,US,20.89,-156.47,89.6,52,20,26.4,few clouds
99,hermanus,ZA,-34.42,19.23,55.99,95,99,6.11,overcast clouds
100,mehamn,NO,71.04,27.85,53.6,93,99,2.24,overcast clouds
101,coihaique,CL,-45.58,-72.07,39.2,80,90,3.36,overcast clouds
102,henties bay,NA,-22.12,14.28,54.0,90,0,5.01,clear sky
103,pemba,MZ,-12.97,40.52,74.17,81,73,15.59,moderate rain
104,laguna,BR,38.42,-121.42,98.01,13,75,9.17,haze
105,arraial do cabo,BR,-22.97,-42.03,68.0,68,75,3.36,broken clouds
106,esperance,AU,-33.87,121.9,50.0,100,53,9.17,broken clouds
107,skjervoy,NO,70.03,20.97,53.47,96,100,24.79,heavy intensity rain
108,saskylakh,RU,71.92,114.08,42.57,79,0,7.2,clear sky
109,souillac,MU,-20.52,57.52,69.8,77,75,13.87,shower rain
110,port lincoln,AU,-34.73,135.87,47.91,79,57,3.22,broken clouds
111,vila franca do campo,PT,37.72,-25.43,71.6,88,20,4.7,few clouds
112,kavieng,PG,-2.57,150.8,77.29,93,99,15.32,heavy intensity rain
113,meulaboh,ID,4.14,96.13,76.66,85,98,5.28,overcast clouds
114,sept-iles,CA,50.2,-66.38,60.8,72,40,6.93,scattered clouds
115,tuktoyaktuk,CA,69.45,-133.04,68.0,56,75,12.75,broken clouds
116,masallatah,LY,32.62,14.0,76.32,87,48,11.16,scattered clouds
117,pringsewu,ID,-5.36,104.97,71.44,88,70,0.69,broken clouds
118,saint-philippe,RE,-21.36,55.77,69.8,72,36,5.82,scattered clouds
119,porto santo,PT,33.07,-16.34,73.4,78,20,10.29,few clouds
120,narsaq,GL,60.92,-46.05,55.4,62,5,10.29,clear sky
121,constantine,DZ,36.37,6.61,73.4,69,0,2.24,clear sky
122,gejiu,CN,23.31,103.16,57.47,100,50,1.5,scattered clouds
123,sosnovo-ozerskoye,RU,52.52,111.54,52.32,94,100,1.3,overcast clouds
124,warwick,AU,41.7,-71.42,87.8,55,20,17.22,few clouds
125,dzhebariki-khaya,RU,62.22,135.8,46.81,54,93,1.5,overcast clouds
126,nanortalik,GL,60.14,-45.24,45.84,81,0,5.64,clear sky
127,inirida,CO,3.87,-67.92,74.37,95,100,0.2,overcast clouds
128,bratsk,RU,56.13,101.61,48.2,93,97,4.47,overcast clouds
129,faanui,PF,-16.48,-151.75,76.84,77,12,18.37,few clouds
130,namibe,AO,-15.2,12.15,65.19,90,74,0.34,broken clouds
131,panaba,MX,21.28,-88.27,84.74,79,81,8.1,moderate rain
132,faya,TD,18.39,42.45,71.6,77,46,3.76,scattered clouds
133,yellowknife,CA,62.46,-114.35,61.0,51,20,5.82,few clouds
134,mar del plata,AR,-38.0,-57.56,51.8,76,0,17.22,clear sky
135,humberto de campos,BR,-2.6,-43.46,77.67,83,9,6.93,clear sky
136,ahipara,NZ,-35.17,173.17,57.56,79,90,19.57,light rain
137,longyearbyen,SJ,78.22,15.64,41.0,65,3,6.93,clear sky
138,santa maria,CV,-29.68,-53.81,66.2,55,0,9.17,clear sky
139,vanimo,PG,-2.67,141.3,76.55,85,100,2.44,moderate rain
140,lorengau,PG,-2.02,147.27,79.36,81,97,7.85,moderate rain
141,puerto ayora,EC,-0.74,-90.35,77.0,57,68,16.11,broken clouds
142,georgetown,SH,5.41,100.34,80.01,94,20,4.05,few clouds
143,huron,US,41.15,-82.55,86.0,48,20,10.29,few clouds
144,dalvik,IS,65.97,-18.53,48.2,76,86,8.05,overcast clouds
145,east london,ZA,-33.02,27.91,60.31,75,3,6.24,clear sky
146,port-cartier,CA,50.03,-66.87,60.8,72,40,6.93,scattered clouds
147,yaan,CN,7.38,8.57,72.97,93,100,1.63,overcast clouds
148,qaanaaq,GL,77.48,-69.36,36.59,88,100,5.19,light rain
149,huejuquilla el alto,MX,22.6,-103.87,79.5,39,69,9.17,broken clouds
150,bethel,US,41.37,-73.41,84.2,51,1,8.05,clear sky
151,mbandaka,CD,0.05,18.26,70.07,90,88,2.08,overcast clouds
152,salinopolis,BR,-0.61,-47.36,80.31,82,93,12.64,overcast clouds
153,santa isabel do rio negro,BR,-0.41,-65.02,83.5,58,14,1.41,few clouds
154,begoro,GH,6.39,-0.38,67.5,100,52,4.74,broken clouds
155,ayan,RU,56.45,138.17,56.34,63,1,4.16,clear sky
156,sao miguel do araguaia,BR,-13.28,-50.16,85.53,34,63,5.82,broken clouds
157,ikwiriri,TZ,-7.96,38.97,71.51,83,30,1.74,scattered clouds
158,tautira,PF,-17.73,-149.15,82.4,61,20,6.93,few clouds
159,hamilton,BM,39.18,-84.53,87.01,65,90,6.93,overcast clouds
160,vila velha,BR,-20.33,-40.29,72.0,68,36,13.87,scattered clouds
161,iqaluit,CA,63.75,-68.51,46.4,75,40,5.82,scattered clouds
162,kapoeta,SD,4.77,33.59,74.88,74,100,6.13,light rain
163,esso,RU,55.93,158.7,47.84,59,1,3.65,clear sky
164,hilo,US,19.73,-155.09,82.4,74,90,6.93,overcast clouds
165,tiksi,RU,71.69,128.87,39.78,76,97,10.98,overcast clouds
166,conceicao do mato dentro,BR,-19.04,-43.42,56.62,84,95,3.33,overcast clouds
167,sechura,PE,-5.56,-80.82,71.53,53,5,16.8,clear sky
168,nizhniy bestyakh,RU,61.96,129.91,44.6,70,93,6.71,overcast clouds
169,nouakchott,MR,18.09,-15.98,82.4,78,75,17.22,broken clouds
170,palestine,US,31.92,35.2,80.6,74,0,5.82,clear sky
171,komsomolskiy,RU,40.43,71.72,73.4,43,0,9.17,clear sky
172,irtyshskiy,RU,58.33,68.13,51.51,92,94,8.14,overcast clouds
173,roald,NO,62.58,6.13,46.99,87,90,17.22,moderate rain
174,alofi,NU,-19.06,-169.92,78.8,69,40,14.99,scattered clouds
175,chuy,UY,-33.7,-53.46,53.76,85,0,10.42,clear sky
176,talnakh,RU,69.49,88.4,57.2,76,100,11.18,light rain
177,pevek,RU,69.7,170.31,37.49,95,100,3.27,light rain
178,alexandria,EG,31.22,29.96,78.8,78,0,4.7,clear sky
179,phonhong,LA,18.5,102.42,75.02,95,100,1.59,moderate rain
180,samarai,PG,-10.62,150.67,76.28,74,100,14.07,overcast clouds
181,goderich,SL,43.75,-81.72,84.99,59,0,6.55,light rain
182,lompoc,US,34.64,-120.46,73.4,73,20,9.17,few clouds
183,aketi,CD,2.74,23.78,71.17,90,99,2.26,overcast clouds
184,harsova,RO,44.68,27.93,75.2,69,20,6.93,few clouds
185,tura,RU,25.52,90.22,73.74,97,1,4.32,clear sky
186,yarke pole,UA,45.61,34.32,62.56,60,0,2.3,clear sky
187,pitimbu,BR,-7.47,-34.81,73.4,83,57,6.93,broken clouds
188,santiago,CL,-33.46,-70.65,57.2,58,20,3.36,few clouds
189,kapit,MY,2.02,112.93,72.81,94,60,1.45,broken clouds
190,katsuura,JP,35.13,140.3,78.01,91,100,3.0,overcast clouds
191,tigil,RU,57.8,158.67,49.1,74,53,8.14,broken clouds
192,margate,ZA,51.38,1.39,64.99,77,100,1.99,overcast clouds
193,ginda,ER,30.69,78.49,65.64,88,93,1.16,overcast clouds
194,martapura,ID,-3.42,114.85,71.6,94,0,1.99,clear sky
195,chapais,CA,49.78,-74.85,68.0,42,20,8.05,few clouds
196,chiredzi,ZW,-21.05,31.67,64.02,64,54,4.72,broken clouds
197,bollnas,SE,61.35,16.39,54.0,98,100,1.57,light rain
198,bambous virieux,MU,-20.34,57.76,71.01,77,75,13.87,shower rain
199,rio do sul,BR,-27.21,-49.64,59.0,97,77,2.15,broken clouds
200,tual,ID,-5.67,132.75,79.43,77,50,17.92,scattered clouds
201,rennes,FR,48.17,-1.67,60.8,77,75,3.36,broken clouds
202,yerofey pavlovich,RU,53.97,121.97,50.74,95,100,7.38,light rain
203,dingle,IE,11.0,122.67,76.44,88,59,1.72,broken clouds
204,sawakin,SD,19.11,37.33,89.78,56,25,5.61,scattered clouds
205,naze,JP,28.37,129.48,84.2,89,75,18.34,broken clouds
206,omboue,GA,-1.57,9.26,73.87,78,100,8.3,overcast clouds
207,nemuro,JP,43.32,145.57,64.4,92,5,7.29,clear sky
208,tiznit,MA,29.58,-9.5,88.07,29,53,1.95,broken clouds
209,mayo,CA,38.89,-76.51,89.01,74,1,12.75,clear sky
210,murdochville,CA,48.96,-65.5,56.62,79,59,4.54,light rain
211,praya,ID,14.92,-23.51,82.4,78,75,5.82,broken clouds
212,norman wells,CA,65.28,-126.83,69.8,49,20,17.22,few clouds
213,karratha,AU,-20.74,116.85,71.24,37,69,3.06,broken clouds
214,saryg-sep,RU,51.5,95.6,47.3,62,88,2.19,overcast clouds
215,coleraine,GB,55.13,-6.67,51.8,93,75,3.36,broken clouds
216,wasilla,US,61.58,-149.44,63.0,72,90,3.36,light rain
217,cabedelo,BR,-6.98,-34.83,73.4,83,55,6.93,broken clouds
218,artesia,US,33.87,-118.08,96.01,52,1,8.05,clear sky
219,kiama,AU,-34.68,150.87,50.0,61,0,11.01,clear sky
220,katherine,AU,-14.47,132.27,59.0,51,0,5.82,clear sky
221,kiruna,SE,67.86,20.23,50.0,87,61,3.36,broken clouds
222,mocuba,MZ,-16.84,36.99,62.89,85,63,2.44,broken clouds
223,esfarayen,IR,37.08,57.51,66.2,68,40,13.87,scattered clouds
224,touros,BR,-5.2,-35.46,75.2,78,20,10.29,few clouds
225,novosheshminsk,RU,55.07,51.23,57.61,92,10,5.21,clear sky
226,mandera,KE,3.94,41.87,78.4,59,90,21.85,overcast clouds
227,richards bay,ZA,-28.78,32.04,63.99,81,0,8.01,clear sky
228,berdigestyakh,RU,62.1,126.7,44.19,68,0,4.32,clear sky
229,hambantota,LK,6.12,81.12,78.8,100,20,4.7,few clouds
230,orocue,CO,4.79,-71.34,80.94,78,5,6.64,clear sky
231,morant bay,JM,17.88,-76.41,86.0,79,75,13.87,broken clouds
232,akyab,MM,20.15,92.9,80.4,88,100,13.53,moderate rain
233,nikolskoye,RU,59.7,30.79,63.0,82,100,2.24,overcast clouds
234,tornio,FI,65.85,24.15,59.0,77,2,5.82,clear sky
235,carutapera,BR,-1.2,-46.02,76.33,91,55,6.91,broken clouds
236,meridian,US,43.61,-116.39,87.8,29,1,3.36,clear sky
237,ponta do sol,CV,32.67,-17.1,75.2,69,20,19.46,few clouds
238,torbay,CA,47.67,-52.73,68.0,49,75,10.29,broken clouds
239,camocim,BR,-2.9,-40.84,78.26,74,18,16.33,few clouds
240,bradford,US,53.79,-1.75,57.2,82,40,13.87,scattered clouds
241,vostok,RU,46.49,135.88,58.93,78,99,2.42,overcast clouds
242,korgen,NO,66.08,13.82,48.2,87,40,4.7,scattered clouds
243,new glasgow,CA,45.58,-62.65,73.99,57,83,8.3,broken clouds
244,rio grande,BR,-32.03,-52.1,59.0,83,0,3.0,clear sky
245,upernavik,GL,72.79,-56.15,43.74,87,93,3.24,overcast clouds
246,pokhara,NP,28.23,83.98,70.9,81,99,2.35,overcast clouds
247,aykhal,RU,66.0,111.5,41.0,75,15,6.71,few clouds
248,makasar,ID,-5.14,119.42,69.8,68,20,3.36,few clouds
249,sao filipe,CV,14.9,-24.5,79.61,82,67,6.06,broken clouds
250,apatity,RU,67.56,33.4,53.76,94,85,5.03,overcast clouds
251,gornopravdinsk,RU,60.05,69.9,51.48,97,78,7.54,broken clouds
252,ust-ilimsk,RU,58.0,102.66,55.4,92,100,2.26,light rain
253,klaksvik,FO,62.23,-6.59,46.4,81,77,2.24,broken clouds
254,boguchany,RU,58.38,97.45,51.85,90,29,2.21,scattered clouds
255,havelock,US,34.88,-76.9,81.0,83,40,8.05,light rain
256,varna,BG,43.22,27.92,69.8,88,20,3.42,few clouds
257,kotelnikovo,RU,47.63,43.15,61.3,51,4,3.85,clear sky
258,bathsheba,BB,13.22,-59.52,84.2,74,20,10.29,few clouds
259,lengshuitan,CN,26.41,111.6,78.44,84,0,5.1,clear sky
260,mahebourg,MU,-20.41,57.7,69.8,77,75,13.87,shower rain
261,buchanan,LR,5.88,-10.05,77.0,94,40,11.95,scattered clouds
262,aklavik,CA,68.22,-135.01,69.8,52,75,12.75,broken clouds
263,kilindoni,TZ,-7.91,39.67,76.17,76,45,11.86,light rain
264,malchevskaya,RU,49.06,40.36,58.82,55,0,5.17,clear sky
265,luganville,VU,-15.53,167.17,78.8,83,75,6.6,broken clouds
266,leh,IN,34.17,77.58,61.93,27,0,4.32,clear sky
267,brae,GB,60.4,-1.35,50.0,81,76,8.05,light rain
268,del rio,US,29.36,-100.9,98.6,32,20,4.7,few clouds
269,jalu,LY,29.03,21.55,79.34,53,0,19.06,clear sky
270,bireun,ID,5.2,96.7,76.75,81,87,3.98,overcast clouds
271,boa vista,BR,2.82,-60.67,80.6,69,40,14.99,shower rain
272,kjollefjord,NO,70.95,27.35,53.6,93,100,2.24,overcast clouds
273,itoman,JP,26.12,127.67,82.4,88,75,28.86,shower rain
274,mayya,RU,61.73,130.28,44.6,70,97,6.71,overcast clouds
275,cockburn town,TC,21.46,-71.14,84.38,79,100,24.18,overcast clouds
276,wabag,PG,-5.48,143.7,55.47,89,100,1.39,overcast clouds
277,lebu,CL,-37.62,-73.65,51.17,91,100,18.54,light rain
278,airai,PW,-8.93,125.41,56.68,38,58,4.32,broken clouds
279,half moon bay,US,37.46,-122.43,80.01,60,40,6.93,scattered clouds
280,clyde river,CA,70.47,-68.59,43.09,84,100,4.45,overcast clouds
281,portobelo,PA,9.55,-79.65,82.0,78,84,3.0,light rain
282,gucheng,CN,35.91,111.32,71.1,74,84,4.9,broken clouds
283,pyaozerskiy,RU,65.83,31.17,55.02,91,1,9.24,clear sky
284,bonthe,SL,7.53,-12.51,77.07,88,100,11.3,moderate rain
285,robertsport,LR,6.75,-11.37,76.89,88,96,19.35,light rain
286,mto wa mbu,TZ,-3.35,35.85,67.51,64,76,5.17,broken clouds
287,belawan,ID,3.78,98.68,75.2,100,40,2.24,scattered clouds
288,maumere,ID,-8.62,122.21,75.36,76,70,3.4,broken clouds
289,coquimbo,CL,-29.95,-71.34,57.2,58,75,9.17,broken clouds
290,yar-sale,RU,66.83,70.83,49.96,95,22,13.11,few clouds
291,tateyama,JP,34.98,139.87,78.01,91,97,3.0,overcast clouds
292,kamenka,RU,51.32,42.77,55.0,78,0,2.04,clear sky
293,portland,AU,45.52,-122.68,82.0,44,20,9.17,few clouds
294,calafell,ES,41.2,1.57,81.0,100,91,6.26,overcast clouds
295,bud,NO,39.45,-86.18,84.99,61,40,5.26,scattered clouds
296,baruun-urt,MN,46.68,113.28,55.0,84,6,2.82,clear sky
297,alekseyevsk,RU,57.84,108.35,49.62,85,18,3.56,few clouds
298,college,US,64.86,-147.8,66.2,59,75,1.7,broken clouds
299,ostrovnoy,RU,68.05,39.51,58.59,89,48,17.29,scattered clouds
300,khandyga,RU,62.67,135.6,45.14,57,97,2.53,overcast clouds
301,bilibino,RU,68.05,166.44,39.54,87,100,4.16,overcast clouds
302,sarahan,IN,31.52,77.8,62.6,77,67,0.63,broken clouds
303,villazon,BO,-22.09,-65.59,57.16,29,0,14.23,clear sky
304,lagoa,PT,39.05,-27.98,73.26,89,0,15.05,clear sky
305,broome,AU,42.25,-75.83,82.0,61,1,8.05,clear sky
306,ullapool,GB,57.9,-5.16,42.01,87,98,1.01,overcast clouds
307,maramba,TZ,-5.05,38.62,60.03,100,49,1.45,light rain
308,barsovo,RU,61.17,73.17,53.6,100,68,4.47,broken clouds
309,yulara,AU,-25.24,130.99,51.8,42,0,6.93,clear sky
310,caravelas,BR,-17.71,-39.25,68.67,81,100,13.04,overcast clouds
311,kysyl-syr,RU,63.9,122.76,43.39,75,0,7.54,clear sky
312,pakxan,LA,18.38,103.66,74.61,95,100,0.85,light rain
313,zhanakorgan,KZ,43.91,67.25,79.07,25,1,8.14,clear sky
314,kologriv,RU,58.83,44.32,57.72,81,100,5.03,overcast clouds
315,belmonte,BR,-15.86,-38.88,68.0,82,75,8.05,broken clouds
316,takaka,NZ,-40.85,172.8,55.99,81,38,8.99,scattered clouds
317,nuuk,GL,64.18,-51.72,41.0,93,90,2.24,overcast clouds
318,cabo san lucas,MX,22.89,-109.91,91.4,52,40,6.93,scattered clouds
319,saint-augustin,CA,51.23,-58.65,61.99,74,70,6.22,light rain
320,torbat-e jam,IR,35.24,60.62,70.23,50,0,9.91,clear sky
321,jumla,NP,29.27,82.18,60.85,71,96,1.99,light rain
322,sembe,CG,1.65,14.58,71.35,93,100,2.13,light rain
323,bela vista,BR,-22.11,-56.52,65.35,79,6,4.92,clear sky
324,yarmouth,CA,41.71,-70.23,80.6,69,1,13.87,clear sky
325,muros,ES,42.78,-9.06,66.0,80,0,10.69,clear sky
326,severo-kurilsk,RU,50.68,156.12,54.14,78,33,0.63,scattered clouds
327,palmer,US,42.16,-72.33,91.4,43,75,10.29,thunderstorm
328,mitu,CO,1.2,-70.17,81.48,67,62,1.79,broken clouds
329,alta floresta,BR,-9.88,-56.09,86.59,27,1,3.85,clear sky
330,teramo,IT,42.65,13.68,80.01,48,13,2.53,few clouds
331,beringovskiy,RU,63.05,179.32,54.14,78,37,1.03,scattered clouds
332,saint-georges,GF,12.06,-61.75,86.0,74,20,5.82,few clouds
333,frei paulo,BR,-10.55,-37.53,78.8,69,40,6.93,scattered clouds
334,lander,US,42.83,-108.73,95.0,16,1,0.83,clear sky
335,miandrivazo,MG,-19.52,45.47,70.38,75,3,1.34,clear sky
336,mozarlandia,BR,-14.74,-50.57,84.67,26,21,4.18,few clouds
337,ouallam,NE,14.32,2.09,87.31,55,78,15.39,broken clouds
338,pangnirtung,CA,66.15,-65.71,50.22,66,100,3.24,overcast clouds
339,kosikha,RU,53.36,84.58,55.4,82,19,8.95,few clouds
340,marsabit,KE,2.33,37.99,64.26,80,94,25.37,overcast clouds
341,ugoofaaru,MV,5.67,73.0,83.35,70,86,6.42,light rain
342,kadaya,RU,50.93,119.29,55.42,97,100,0.76,overcast clouds
343,gremyachinsk,RU,58.56,57.85,45.72,96,29,1.16,scattered clouds
344,paita,PE,-5.09,-81.11,64.27,75,3,16.75,clear sky
345,ayr,AU,55.46,-4.63,53.6,81,40,6.93,scattered clouds
346,roros,NO,62.57,11.38,37.4,100,100,2.24,overcast clouds
347,tuatapere,NZ,-46.13,167.68,48.99,94,58,3.87,broken clouds
348,shahpur,IN,16.7,76.83,73.56,89,68,8.12,broken clouds
349,kirundo,BI,-2.58,30.17,73.4,46,20,2.24,few clouds
350,acapulco,MX,16.86,-99.89,86.0,74,40,6.93,scattered clouds
351,miraflores,CO,19.22,-98.81,78.8,23,75,4.7,broken clouds
352,salalah,OM,17.02,54.09,77.0,94,90,5.82,haze
353,sol-iletsk,RU,51.16,54.99,55.44,80,0,11.12,clear sky
354,murray bridge,AU,-35.12,139.27,42.01,91,33,3.53,scattered clouds
355,kalabo,ZM,-14.97,22.68,61.65,36,0,5.37,clear sky
356,arenal,HN,8.46,-73.94,87.42,67,41,1.05,light rain
357,at-bashi,KG,41.17,75.81,54.45,40,0,2.08,clear sky
358,santa elena,MX,-2.23,-80.85,71.6,78,75,12.75,broken clouds
359,celestun,MX,20.87,-90.4,85.78,70,62,12.44,broken clouds
360,anqing,CN,30.51,117.05,80.71,78,0,3.2,clear sky
361,corn island,NI,12.17,-83.04,81.88,74,5,3.22,clear sky
362,durres,AL,41.32,19.44,73.4,83,4,1.12,clear sky
363,banda aceh,ID,5.56,95.32,79.97,80,84,6.91,moderate rain
364,san luis,AR,-33.3,-66.34,37.4,93,75,13.87,broken clouds
365,nioro,ML,13.35,-15.75,74.52,85,99,3.0,overcast clouds
366,belle fourche,US,44.67,-103.85,98.01,27,1,9.17,clear sky
367,verkh-usugli,RU,52.7,115.17,50.63,95,100,3.8,overcast clouds
368,presidente epitacio,BR,-21.76,-52.12,66.92,63,0,9.89,clear sky
369,bayan,KW,46.08,127.4,64.29,86,100,5.99,overcast clouds
370,benguela,AO,-12.58,13.41,68.27,87,26,2.82,scattered clouds
371,veseloyarsk,RU,51.28,81.11,58.26,56,96,6.49,overcast clouds
372,hirara,JP,24.8,125.28,84.2,79,75,20.8,broken clouds
373,tirau,NZ,-37.98,175.75,57.99,90,100,8.01,light rain
374,clarence town,BS,-32.58,151.78,51.01,61,20,23.04,few clouds
375,piraquara,BR,-25.44,-49.06,53.6,76,75,10.29,broken clouds
376,sabang,ID,5.89,95.32,83.41,71,48,7.0,light rain
377,quattro castella,IT,44.63,10.47,71.01,86,36,0.2,scattered clouds
