City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Tessalit,ML,2020-08-19 23:27:44,20.2,1.01,87.51,35,69,13.82
70,Faanui,PF,2020-08-19 23:27:45,-16.48,-151.75,78.39,77,35,20.36
71,Tocopilla,CL,2020-08-19 23:25:56,-22.09,-70.2,57.99,68,19,11.59
72,Victoria,HK,2020-08-19 23:25:47,22.29,114.16,81.0,89,100,7.0
73,Gairo,IT,2020-08-19 23:27:45,39.85,9.5,77.0,100,5,6.93
74,Atuona,PF,2020-08-19 23:27:45,-9.8,-139.03,78.49,76,7,18.66
75,Ponta Delgada,PT,2020-08-19 23:27:46,37.73,-25.67,62.6,77,20,5.82
76,Deputatskiy,RU,2020-08-19 23:27:46,69.3,139.9,37.06,80,87,5.08
77,Saint-Joseph,RE,2020-08-19 23:27:46,-21.37,55.62,69.01,68,75,2.24
78,Fare,PF,2020-08-19 23:27:46,-16.7,-151.02,78.89,75,8,20.07
79,Margate,GB,2020-08-19 23:27:46,51.38,1.39,68.0,99,99,5.01
80,Padang,ID,2020-08-19 23:27:47,-0.95,100.35,78.33,77,79,4.09
81,Bengkulu,ID,2020-08-19 23:27:47,-3.8,102.27,75.79,84,74,4.56
82,Qaanaaq,GL,2020-08-19 23:27:47,77.48,-69.36,44.38,90,100,1.79
83,Wanning,CN,2020-08-19 23:27:47,18.8,110.4,80.4,85,95,5.14
84,Durban,ZA,2020-08-19 23:27:47,-29.86,31.03,53.6,71,40,4.7
85,Guerrero Negro,MX,2020-08-19 23:27:47,27.98,-114.06,86.67,46,0,16.53
86,Stara Synyava,UA,2020-08-19 23:27:48,49.6,27.62,62.26,93,83,5.48
87,Ixtapa,MX,2020-08-19 23:27:48,20.7,-105.2,86.0,70,90,4.7
88,Mon,IN,2020-08-19 23:27:48,26.75,95.1,70.05,93,51,4.14
89,Tasiilaq,GL,2020-08-19 23:27:48,65.61,-37.64,44.6,75,0,5.82
90,Ponta Do Sol,PT,2020-08-19 23:27:48,32.67,-17.1,73.4,78,40,2.24
91,Thompson,CA,2020-08-19 23:24:30,55.74,-97.86,71.6,53,75,2.24
92,Tazovskiy,RU,2020-08-19 23:27:49,67.47,78.7,56.14,73,100,11.16
93,Ilulissat,GL,2020-08-19 23:27:49,69.22,-51.1,51.8,40,31,5.82
94,Baruun-Urt,MN,2020-08-19 23:27:49,46.68,113.28,51.53,67,8,3.49
95,Hobart,AU,2020-08-19 23:23:39,-42.88,147.33,52.0,76,75,10.29
96,Nichinan,JP,2020-08-19 23:27:50,31.6,131.37,86.0,79,40,3.36
97,Matehuala,MX,2020-08-19 23:27:50,23.65,-100.65,78.21,36,100,7.72
98,Hamadan,IR,2020-08-19 23:26:36,34.8,48.51,60.8,25,0,6.93
99,Tura,IN,2020-08-19 23:27:50,25.52,90.22,73.24,95,91,5.73
100,Bonnyville,CA,2020-08-19 23:27:50,54.27,-110.73,80.6,34,20,3.36
101,Aklavik,CA,2020-08-19 23:27:51,68.22,-135.01,60.8,72,40,3.36
102,Pryamitsyno,RU,2020-08-19 23:27:51,51.66,35.93,59.0,76,80,3.0
103,Dunedin,NZ,2020-08-19 23:23:31,-45.87,170.5,51.01,85,4,7.0
104,Buala,SB,2020-08-19 23:25:04,-8.14,159.59,84.6,69,96,3.02
105,Tuatapere,NZ,2020-08-19 23:27:52,-46.13,167.68,53.01,87,46,3.0
106,Raga,SS,2020-08-19 23:25:06,8.46,25.68,69.28,93,100,2.01
107,Bandarbeyla,SO,2020-08-19 23:25:06,9.49,50.81,78.46,73,0,25.3
108,Adre,TD,2020-08-19 23:27:53,13.47,22.2,70.36,92,100,4.92
109,Kidal,ML,2020-08-19 23:27:53,18.44,1.41,83.71,49,98,12.46
110,Snezhnogorsk,RU,2020-08-19 23:27:53,69.19,33.25,44.6,100,98,2.24
111,Port Alfred,ZA,2020-08-19 23:27:53,-33.59,26.89,51.19,73,17,10.13
112,Hovd,MN,2020-08-19 23:27:53,48.01,91.64,62.35,46,100,0.67
113,Olafsvik,IS,2020-08-19 23:27:54,64.89,-23.71,49.51,81,20,5.44
114,Havoysund,NO,2020-08-19 23:27:54,71.0,24.66,50.0,93,75,18.34
115,Elizabeth City,US,2020-08-19 23:24:41,36.29,-76.25,80.6,69,1,3.91
116,Ribeira Grande,PT,2020-08-19 23:27:54,38.52,-28.7,68.92,68,81,15.39
117,Kuldur,RU,2020-08-19 23:27:55,49.22,131.63,57.65,56,0,7.4
118,Lompoc,US,2020-08-19 23:24:15,34.64,-120.46,81.0,56,90,14.99
119,Vetlanda,SE,2020-08-19 23:27:55,57.43,15.08,59.0,100,98,3.36
120,Nanortalik,GL,2020-08-19 23:27:55,60.14,-45.24,46.22,80,29,14.43
121,Busselton,AU,2020-08-19 23:27:56,-33.65,115.33,44.01,83,82,1.59
122,Gat,IL,2020-08-19 23:27:56,31.61,34.76,75.99,40,0,0.45
123,Ormara,PK,2020-08-19 23:27:56,25.21,64.64,82.29,84,100,13.69
124,Saldanha,ZA,2020-08-19 23:27:57,-33.01,17.94,44.6,81,60,2.24
125,Unnao,IN,2020-08-19 23:27:57,26.53,80.5,82.4,88,40,3.36
126,Khor,RU,2020-08-19 23:27:57,47.89,134.95,56.82,78,43,5.75
127,Castro,BR,2020-08-19 23:25:52,-24.79,-50.01,52.18,96,100,1.81
128,Isangel,VU,2020-08-19 23:27:58,-19.55,169.27,77.0,73,75,2.24
129,Aripuana,BR,2020-08-19 23:27:58,-9.17,-60.63,85.69,32,19,1.32
130,Talaya,RU,2020-08-19 23:27:58,61.38,152.75,47.05,88,100,9.31
